============================================================
  RUNG 5: GPT-2 WITH GENOME-CONTROLLED CONNECTIVITY
  354 parameters grow GPT-2.
============================================================
  Config: full
  Device: cuda
  Dtype: bfloat16
  Layers: 12, Hidden: 768, FF: 3072
  Block size: 1024, Batch: 12
  Grad accum: 40
  Tokens/iter: 491,520
  Max iters: 100,000
  Dataset: openwebtext

============================================================
  Training: genome
============================================================
  Genome params: 354
  Total params: 124,430,946
  Compiling model with torch.compile...
  Resuming from iter 30300...
  iter  34300 | train 3.0713 | val 3.1027 | lr 4.68e-04 | 122293 tok/s | hard=71.1% soft=72.9% temp=7.2 sp=22.9608
  iter  34400 | train 3.0843 | val 3.1025 | lr 4.67e-04 | 122319 tok/s | hard=71.1% soft=72.9% temp=7.2 sp=22.9702
  iter  34500 | train 3.0866 | val 3.1003 | lr 4.66e-04 | 122332 tok/s | hard=71.1% soft=72.9% temp=7.2 sp=22.9655
  iter  34600 | train 3.0939 | val 3.0889 | lr 4.65e-04 | 122352 tok/s | hard=71.1% soft=73.0% temp=7.2 sp=22.9558
  iter  34700 | train 3.0915 | val 3.1012 | lr 4.65e-04 | 122369 tok/s | hard=71.1% soft=72.9% temp=7.2 sp=22.9558
  iter  34800 | train 3.0817 | val 3.1044 | lr 4.64e-04 | 122383 tok/s | hard=71.1% soft=73.0% temp=7.3 sp=22.9472
  iter  34900 | train 3.0886 | val 3.1037 | lr 4.63e-04 | 122394 tok/s | hard=71.1% soft=73.0% temp=7.3 sp=22.9598
  iter  35000 | train 3.1003 | val 3.0935 | lr 4.62e-04 | 122409 tok/s | hard=71.1% soft=73.0% temp=7.3 sp=22.9517
  iter  35100 | train 3.0859 | val 3.0975 | lr 4.62e-04 | 122426 tok/s | hard=71.2% soft=73.1% temp=7.3 sp=22.9443
  iter  35200 | train 3.0836 | val 3.0939 | lr 4.61e-04 | 122437 tok/s | hard=71.2% soft=73.1% temp=7.3 sp=22.9386
  iter  35300 | train 3.0740 | val 3.0961 | lr 4.60e-04 | 122446 tok/s | hard=71.2% soft=73.0% temp=7.4 sp=22.9285
  iter  35400 | train 3.0952 | val 3.1194 | lr 4.59e-04 | 122462 tok/s | hard=71.1% soft=73.1% temp=7.4 sp=22.9418
  iter  35500 | train 3.0867 | val 3.0850 | lr 4.59e-04 | 122471 tok/s | hard=71.2% soft=73.2% temp=7.4 sp=22.9145
  iter  35600 | train 3.0772 | val 3.1044 | lr 4.58e-04 | 122471 tok/s | hard=71.2% soft=73.3% temp=7.4 sp=22.9168
  iter  35700 | train 3.0817 | val 3.1021 | lr 4.57e-04 | 122485 tok/s | hard=71.2% soft=73.2% temp=7.4 sp=22.9230
  iter  35800 | train 3.0917 | val 3.0988 | lr 4.56e-04 | 122499 tok/s | hard=71.2% soft=73.3% temp=7.4 sp=22.9245
  iter  35900 | train 3.0903 | val 3.0956 | lr 4.56e-04 | 122505 tok/s | hard=71.2% soft=73.3% temp=7.5 sp=22.9119
  iter  36000 | train 3.0863 | val 3.0988 | lr 4.55e-04 | 122520 tok/s | hard=71.2% soft=73.3% temp=7.5 sp=22.9161
  iter  36100 | train 3.0803 | val 3.0926 | lr 4.54e-04 | 122529 tok/s | hard=71.2% soft=73.2% temp=7.5 sp=22.8989
  iter  36200 | train 3.0809 | val 3.0777 | lr 4.53e-04 | 122541 tok/s | hard=71.2% soft=73.3% temp=7.5 sp=22.9012
